Package Name,Category
com.vyou.vcameraclient,
com.shopify.arrive,Shopping
com.samsung.accessory,Communication
cslappdeveloper.lanterna,Tools
com.keego.fonts.keyboard.stickers.theme,
com.futureplay.mergematch,Puzzle
com.mixcloud.player,Music & Audio
com.compass.compass,House & Home
com.dcjnmed.jifqq,Casual
com.stationdm.bluelink,Productivity
com.readygo.barrel.gp,Strategy
com.mintgames.findout,Puzzle
com.netradyne.IDMS,Business
com.playstack.balatro.android,Card
com.splendapps.torch,Tools
pro.cashtree,Entertainment
com.myuvo.link,Productivity
com.buzzfeed.tasty,Food & Drink
com.weward,Health & Fitness
com.samscript.ghhelperpro,
com.netmarble.sololv,Action
com.wsandroid.suite,Tools
com.peoplefun.wordsolitaire,Word
com.deepsafebr.browser.me,
app.whoo,Social
com.getjobber.jobber,Business
org.telegram.plus,Communication
radios.de.nicaragua.gratis,Music & Audio
paint.by.number.pixel.art.coloring.drawing.puzzle,Board
com.oticon.app,Medical
com.tripledot.blockbash,Puzzle
com.coolniks.niksgps,Maps & Navigation
com.hitappsgames.connectwords,Word
com.everywear.game5,Puzzle
com.h8games.littlefarmstory,Role Playing
com.kroger.mobile,Shopping
com.fambase.venus,Lifestyle
com.samsung.android.privacydashboard,
com.blueapron.blueapron.release,Food & Drink
com.mobilityware.solitaire,Card
com.mergegame.merge,Casual
com.winlator,
com.redcell.goldandgoblins,Simulation
com.gdkj.android.weather,
com.ballytechnologies.quickhitslots,Casino
com.supercell.hayday,Casual
com.scopely.startrek,Strategy
com.playvalve.solitaire,Card
com.embeepay.mpm,Lifestyle
com.shoot.emoticon.arrow.puzzle.game.fsaw,Casual
com.junkfiles.cleaner.dotada,Tools
it.navionics.singleAppMarineLakesHD,Maps & Navigation
com.groundcloud.android,Maps & Navigation
com.samsung.android.waterplugin,Tools
com.gunforge.zombiehunter,Casual
com.sms.text.messages,Communication
com.buddy.manager.file.clean,Tools
com.enflick.android.tn2ndLine,Communication
com.playrix.fishdomdd.gplay,Puzzle
com.com2us.ninepb3d.normal.freefull.google.global.android.common,Sports
com.crypt.gram.puzz,Word
com.kick.mobile,Entertainment
com.stonekick.tempo,Music & Audio
com.musicplayer.mp3.audio.mymusic.player,
panda.keyboard.emoji.theme,
com.online.huntingsniper,Casual
com.mobile.legends,Action
com.google.android.apps.photosgo,Photography
com.myfitnesspal.android,Health & Fitness
com.easybrain.block.puzzle.games,Puzzle
com.droid27.senseflipclockweather,Weather
com.onepeloton.callisto,Health & Fitness
com.dexcom.g7,Health & Fitness
com.playdemic.golf.android,Sports
com.miHoYo.GenshinImpact,Adventure
com.antivirus,Tools
com.tplink.iot,Lifestyle
com.utorrent.client,Video Players & Editors
com.dramawave.app,Entertainment
com.kabam.marvelbattle,Action
com.master.hotelmaster,Arcade
video.downloader.videodownloader,Video Players & Editors
tr.com.apps.drill.and.collect,Simulation
com.playrix.homescapes,Casual
com.gofo.courier.android,Tools
com.wizards.mtga,Card
com.aiqidii.mercury,
com.barkinglabs.fi,Health & Fitness
com.playrix.gardenscapes,Casual
com.proxima.dfm,Action
com.five_f.logistics,Travel & Local
com.otrperformance.simplcan,Auto & Vehicles
com.dts.freefiremax,Action
com.mail.inbox.allemailaccess,Communication
com.save.princess.girl.dragon.out.and,Casual
com.hifiction.novel.android,Books & Reference
com.netmarble.nanagb,Role Playing
com.instacart.client.publix,Food & Drink
com.lenovo.anyshare.gps,Tools
com.watergame.ppcd,Puzzle
com.heartrate.bloodpressure.vitalsigns,
com.crazycash.playgames.android,Entertainment
com.windyty.android,Weather
com.vm3.global,Casual
com.trendmicro.tmmspersonal,Tools
com.plarium.mechlegion,Action
com.filejunk.res.detector,Tools
com.playtika.wsop.gp,Card
app.locker.android.app,Tools
com.app360eyes,
com.bleacherreport.android.teamstream,Sports
com.easilydo.mail,Productivity
com.rewardstyle.liketoknowit,Shopping
com.blurams.ipc,Video Players & Editors
com.ddi,Casino
com.sec.android.app.popupcalculator,Tools
com.paxiegames.mergestudio,Puzzle
com.zombie.idleminertycoon,Simulation
com.readygo.dark.gp,Strategy
com.samsung.android.callassistant,
com.tradingview.tradingviewapp,Finance
com.cube.out.jam.puzzle,Puzzle
com.softek.ofxclmobile.communityfinancialfcu,Finance
com.weaver.app.prod,Entertainment
com.pt.wshhp,Entertainment
ec.easy.clean,
com.capigami.outofmilk,Shopping
com.edgesyncs.focusbooster,
cn.soulapp.android,Social
com.gopuff.godrive2.live,Business
com.tile.match.blockpuzzle,Puzzle
com.tiktok.lite.go,Social
com.jazarimusic.voloco,Music & Audio
com.i4season.useeplus,Tools
com.indeed.android.jobsearch,Business
com.paycom.mobile.ess,Tools
com.blizzard.wtcg.hearthstone,Card
com.jmsgame.jackpotmastercasino,Casino
com.usbank.mobilebanking,Finance
call.blaze.show.callblaze,
com.abc.abcnews,News & Magazines
com.doapps.android.mln.MLN_b9e6d9221dcefc50ba23c6bd04ace911,News & Magazines
net.ajcloud.wansviewplus,Lifestyle
com.dreame.reader,Books & Reference
in.playsimple.triple.tile.matchgame.pair.three.puzzle.object.royale,Puzzle
orissa.GroundWidget.LimoPad.appstore,Business
br.com.golmobile.nypost,News & Magazines
com.Seriously.BestFiends,Casual
com.google.android.apps.accessibility.voiceaccess,Tools
com.tap.gallery,Puzzle
com.weather.localradar.localweather,
com.furryapp,Social
com.flyfrontier.android,Travel & Local
com.draftkings.dknativermgGP,Sports
com.propel.ebenefits,Finance
com.bet365SportsNJ.Bet365_ApplicationNJ,Sports
health.clipboard.worker,Business
com.ea.game.simcitymobile_row,Simulation
com.ncptc.safephone.mdm,
com.caesarsdigital.igaming.caesarspalaceonline,Entertainment
com.mobolize.cachefront.preload,
app.hurdlr.com,Finance
com.bandainamcoent.opbrww,Action
com.buzzfeed.android,Entertainment
com.timeero.time_clock,Productivity
com.wondery,Music & Audio
com.pcloud.pcloud,Productivity
com.studio27.MelonPlayground,Simulation
com.microsoft.scmx,Tools
com.GentleManiac.HorizonWalkerErolabs,
com.bluetees,Sports
com.clean.master.btr,
com.sec.unifiedwfc,
tv.willow,Sports
com.reverllc.rever,Maps & Navigation
com.lilithgame.roc.gp,Strategy
com.myyearbook.m,Social
air.com.playtika.slotomania,Casino
com.evertec.athmovil.android,Finance
com.jeyluta.timestampcamerafree,Photography
net.easyconn.carman.wws,Travel & Local
com.yahoo.infohub,News & Magazines
com.verizontelematics.verizonhum,Maps & Navigation
com.imdb.mobile,Entertainment
com.fi7276.godough,Finance
com.ig.bus.out,Puzzle
com.popular.android.mibanco,Finance
com.melon.drop.fruit.merge.master,Puzzle
io.elevenlabs.readerapp,Books & Reference
com.foxsports.android,Sports
com.bandainamcoent.gget_WW,Simulation
com.weedmaps.app.android,Lifestyle
org.kp.m,Health & Fitness
com.messages.textmessages.datas,Communication
and.brainworks.holeemall,Puzzle
com.adobe.lrmobile,Photography
speedometer.gpsspeedometer.gps.odometer.speed,Maps & Navigation
com.woodpuzzle.pin3d,Puzzle
com.descartes.mobilelink,Business
com.rnovel.android.app,Books & Reference
com.applabstudios.ai.mail.homescreen.inbox,Personalization
com.samsung.android.app.routineplus,
com.lovense.wear,Tools
com.vitastudio.solitaire,Card
com.extraspace.aspen,Tools
ru.mail.mailapp,Communication
com.google.android.apps.carrier.carrierwifi,
app.symfonik.music.player,Music & Audio
app.mihon,
com.best.snap.news,News & Magazines
com.rjp.diarypro,Lifestyle
com.dxx.firenow,Adventure
com.epedometer.step,Health & Fitness
com.nvsgames.snap,Strategy
gps.speedometer.digihud.odometer,Maps & Navigation
com.zynga.wizardofoz,Casino
com.jagex.oldscape.android,Adventure
com.dominospizza,Food & Drink
com.gm.chevrolet.nomad.ownership,Lifestyle
gov.panynj.virttaxdispapp,Travel & Local
com.easybrain.jigsaw.puzzles,Puzzle
com.naturalmotion.customstreetracer2,Racing
com.sugar.logger.keep.health.monitor,
com.jurny.driver,Travel & Local
